Time Series,IMFs,Metric,alpha,tau,W init,fs,tol
TS1,1 - 1,AIC,0,0,1,20000,1e-06
TS1,1 - 2,AIC,0,0,False,20000,1e-06
TS1,1 - 3,AIC,0,0,False,20000,1e-06
TS1,1 - 4,AIC,0,0,False,20000,1e-06
TS1,1 - 5,AIC,0,0,False,20000,1e-06
TS2,1 - 1,AIC,5000,3,1001,20000,1e-06
TS2,1 - 2,AIC,0,0,False,20000,1e-06
TS2,1 - 3,AIC,0,0,False,20000,1e-06
TS2,1 - 4,AIC,0,0,False,20000,1e-06
TS2,1 - 5,AIC,0,0,False,20000,1e-06
TS3,1 - 1,AIC,5000,3,10001,20000,1e-06
TS3,1 - 2,AIC,0,0,False,20000,1e-06
TS3,1 - 3,AIC,0,0,False,20000,1e-06
TS3,1 - 4,AIC,0,0,False,20000,1e-06
TS3,1 - 5,AIC,0,0,False,20000,1e-06
TS4,1 - 1,AIC,5000,3,1,20000,1e-06
TS4,1 - 2,AIC,0,0,False,20000,1e-06
TS4,1 - 3,AIC,0,0,False,20000,1e-06
TS4,1 - 4,AIC,0,0,False,20000,1e-06
TS4,1 - 5,AIC,0,0,False,20000,1e-06
